RACE_TRACK,RACE_DATE,POS,DRIVER,CAR,MANUFACTURER,LAPS,START,LED,PTS,BONUS,PENALTY
Bristol,2021-03-28 00:00:00,38,Corey LaJoie,7,Chevrolet,39,30,0,1,0,0
Bristol,2021-03-28 00:00:00,39,Anthony Alfredo,38,Ford,39,29,0,1,0,0
Bristol,2023-04-09 00:00:00,1,Christopher Bell,20,Toyota,250,4,100,52,0,12
Bristol,2023-04-09 00:00:00,2,Tyler Reddick,45,Toyota,250,6,69,48,0,13
Bristol,2023-04-09 00:00:00,3,Austin Dillon,3,Chevrolet,250,2,0,52,0,18
Bristol,2023-04-09 00:00:00,4,Ricky Stenhouse Jr.,47,Chevrolet,250,22,0,33,0,0
Bristol,2023-04-09 00:00:00,5,Chase Briscoe,14,Ford,250,14,0,41,0,9
Bristol,2023-04-09 00:00:00,6,Justin Haley,31,Chevrolet,250,25,0,35,0,4
Bristol,2023-04-09 00:00:00,7,Martin Truex Jr.,19,Toyota,250,27,0,34,0,4
Bristol,2023-04-09 00:00:00,8,Todd Gilliland,38,Ford,250,15,0,29,0,0
Bristol,2023-04-09 00:00:00,9,Kevin Harvick,4,Ford,250,26,0,28,0,0
Bristol,2023-04-09 00:00:00,10,Ty Gibbs,54,Toyota,250,23,0,27,0,0
Bristol,2023-04-09 00:00:00,11,Michael McDowell,34,Ford,250,13,0,26,0,0
Bristol,2023-04-09 00:00:00,12,Bubba Wallace,23,Toyota,250,11,0,25,0,0
Bristol,2023-04-09 00:00:00,13,William Byron,24,Chevrolet,250,10,0,25,0,1
Bristol,2023-04-09 00:00:00,14,Erik Jones,43,Chevrolet,250,18,0,23,0,0
Bristol,2023-04-09 00:00:00,15,Harrison Burton,21,Ford,250,20,0,22,0,0
Bristol,2023-04-09 00:00:00,16,AJ Allmendinger,16,Chevrolet,250,29,0,21,0,0
Bristol,2023-04-09 00:00:00,17,Brad Keselowski,6,Ford,250,33,0,20,0,0
Bristol,2023-04-09 00:00:00,18,Chris Buescher,17,Ford,250,28,0,19,0,0
Bristol,2023-04-09 00:00:00,19,Austin Cindric,2,Ford,250,7,0,18,0,0
